Order No,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Month
1,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,Good,January
2,727-02-1313,A,Yangon,Member,Male,Food and beverages,31.84,1,1.592,33.432,2019-02-09,13:22,Cash,31.84,4.761904762,1.592,Good,February
3,347-56-2442,A,Yangon,Normal,Male,Home and lifestyle,65.82,1,3.291,69.111,2019-02-22,15:33,Cash,65.82,4.761904762,3.291,Bad,February
4,347-56-2442,A,Yangon,Normal,Male,Home and lifestyle,65.82,1,3.291,69.111,2019-02-22,15:33,Cash,65.82,4.761904762,3.291,Bad,February
5,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,Good,January
6,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,324.31,4.761904762,16.2155,Good,March
7,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33,Ewallet,465.76,4.761904762,23.288,Good,January
8,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,604.17,4.761904762,30.2085,Average,February
9,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,413.04,4.761904762,20.652,Average,February
10,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,72.52,4.761904762,3.626,Good,January
11,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,Good,February
12,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,431.9,4.761904762,21.595,Good,February
13,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.761904762,35.69,Average,March
14,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,4.761904762,24.1255,Bad,March
15,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,435.66,4.761904762,21.783,Average,January
16,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,4.761904762,8.2005,Good,January
17,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.761904762,8.64,Good,February
18,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,Average,March
19,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,Good,March
20,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,175.34,4.761904762,8.767,Good,March
21,745-74-0715,A,Yangon,Normal,Male,Electronic accessories,58.03,2,5.803,121.863,2019-03-10,20:46,Ewallet,116.06,4.761904762,5.803,Good,March
22,886-18-2897,A,Yangon,Normal,Female,Food and beverages,56.56,5,14.14,296.94,2019-03-22,19:06,Credit card,282.8,4.761904762,14.14,Bad,March
23,139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,921.186,2019-03-14,14:19,Ewallet,877.32,4.761904762,43.866,Good,March
24,809-46-1866,A,Yangon,Normal,Male,Health and beauty,58.15,4,11.63,244.23,2019-01-23,17:44,Cash,232.6,4.761904762,11.63,Good,January
25,459-45-2396,A,Yangon,Member,Female,Food and beverages,99.6,3,14.94,313.74,2019-02-25,18:45,Cash,298.8,4.761904762,14.94,Average,February
26,749-81-8133,A,Yangon,Normal,Female,Fashion accessories,94.67,4,18.934,397.614,2019-03-11,12:04,Cash,378.68,4.761904762,18.934,Average,March
27,397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62,9,17.829,374.409,2019-01-13,17:54,Credit card,356.58,4.761904762,17.829,Average,January
28,243-55-8457,A,Yangon,Normal,Female,Food and beverages,74.44,10,37.22,781.62,2019-02-27,11:40,Ewallet,744.4,4.761904762,37.22,Average,February
29,361-85-2571,A,Yangon,Normal,Female,Sports and travel,89.48,5,22.37,469.77,2019-03-30,10:18,Cash,447.4,4.761904762,22.37,Good,March
30,131-70-8179,A,Yangon,Member,Female,Health and beauty,92.09,3,13.8135,290.0835,2019-02-17,16:27,Cash,276.27,4.761904762,13.8135,Bad,February
31,720-72-2436,A,Yangon,Normal,Male,Food and beverages,66.52,4,13.304,279.384,2019-03-02,18:14,Ewallet,266.08,4.761904762,13.304,Average,March
32,809-69-9497,A,Yangon,Normal,Female,Home and lifestyle,45.68,10,22.84,479.64,2019-01-19,19:30,Ewallet,456.8,4.761904762,22.84,Average,January
33,449-16-6770,A,Yangon,Normal,Male,Health and beauty,50.79,5,12.6975,266.6475,2019-02-19,14:53,Credit card,253.95,4.761904762,12.6975,Average,February
34,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,4.761904762,11.2005,Good,March
35,333-23-2632,A,Yangon,Member,Male,Health and beauty,10.08,7,3.528,74.088,2019-03-28,20:14,Cash,70.56,4.761904762,3.528,Bad,March
36,846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,2019-01-06,11:51,Cash,297.99,4.761904762,14.8995,Average,January
37,384-59-6655,A,Yangon,Member,Female,Food and beverages,98.66,9,44.397,932.337,2019-02-19,15:07,Cash,887.94,4.761904762,44.397,Good,February
38,324-92-3863,A,Yangon,Member,Male,Electronic accessories,20.89,2,2.089,43.869,2019-02-05,18:45,Cash,41.78,4.761904762,2.089,Good,February
39,593-08-5916,A,Yangon,Normal,Female,Fashion accessories,15.5,1,0.775,16.275,2019-03-19,15:23,Credit card,15.5,4.761904762,0.775,Good,March
40,558-60-5016,A,Yangon,Normal,Female,Home and lifestyle,33.3,9,14.985,314.685,2019-03-04,15:27,Ewallet,299.7,4.761904762,14.985,Good,March
41,195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,2019-01-13,12:55,Credit card,243.03,4.761904762,12.1515,Good,January
42,605-03-2706,A,Yangon,Normal,Female,Health and beauty,15.8,3,2.37,49.77,2019-03-25,18:02,Cash,47.4,4.761904762,2.37,Good,March
43,531-56-4728,A,Yangon,Normal,Male,Home and lifestyle,80.08,3,12.012,252.252,2019-02-11,15:29,Cash,240.24,4.761904762,12.012,Average,February
44,221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,313.572,2019-03-04,10:39,Cash,298.64,4.761904762,14.932,Good,March
45,489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,2019-01-05,11:51,Credit card,657.16,4.761904762,32.858,Good,January
46,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,193.16,4.761904762,9.658,Average,March
47,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,313.1,4.761904762,15.655,Average,March
48,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,547.92,4.761904762,27.396,Bad,January
49,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,Credit card,131.55,4.761904762,6.5775,Good,January
50,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39,Cash,206.52,4.761904762,10.326,Good,February
51,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,580.0,4.761904762,29.0,Good,March
52,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,Ewallet,467.7,4.761904762,23.385,Good,January
53,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,4.761904762,15.07,Good,February
54,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48,Credit card,259.68,4.761904762,12.984,Bad,March
55,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56,Credit card,749.16,4.761904762,37.458,Good,January
56,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55,Credit card,461.45,4.761904762,23.0725,Good,February
57,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21,Cash,63.69,4.761904762,3.1845,Average,February
58,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,552.78,4.761904762,27.639,Good,March
59,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44,Credit card,320.53,4.761904762,16.0265,Average,March
60,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31,Cash,307.68,4.761904762,15.384,Average,January
61,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,15:10,Credit card,486.64,4.761904762,24.332,Good,February
62,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36,Ewallet,350.05,4.761904762,17.5025,Average,January
63,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,16:21,Ewallet,304.56,4.761904762,15.228,Good,March
64,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,17:01,Credit card,177.36,4.761904762,8.868,Good,March
65,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,19:16,Ewallet,443.28,4.761904762,22.164,Bad,March
66,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55,Ewallet,155.0,4.761904762,7.75,Good,March
67,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,11:19,Credit card,86.38,4.761904762,4.319,Average,March
68,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,12:50,Ewallet,74.07,4.761904762,3.7035,Good,February
69,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20,Credit card,989.8,4.761904762,49.49,Good,February
70,522-57-8364,A,Yangon,Member,Male,Fashion accessories,51.34,8,20.536,431.256,2019-01-31,10:00,Ewallet,410.72,4.761904762,20.536,Good,January
71,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,161.25,4.761904762,8.0625,Good,January
72,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,Credit card,796.48,4.761904762,39.824,Average,February
73,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,Cash,222.95,4.761904762,11.1475,Good,February
74,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,Cash,88.68,4.761904762,4.434,Average,March
75,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.761904762,35.84,Average,February
76,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,723.5,4.761904762,36.175,Average,January
77,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,4.761904762,7.905,Good,March
78,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,158.7,4.761904762,7.935,Average,March
79,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,787.7,4.761904762,39.385,Average,January
80,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,4.761904762,0.9165,Bad,February
81,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,672.03,4.761904762,33.6015,Good,January
82,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,655.83,4.761904762,32.7915,Bad,March
83,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,4.761904762,9.0045,Average,January
84,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,4.761904762,2.1235,Average,January
85,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,4.761904762,7.693,Average,January
86,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,97.16,4.761904762,4.858,Good,March
87,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,158.25,4.761904762,7.9125,Good,March
88,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,349.56,4.761904762,17.478,Good,March
89,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,4.761904762,44.335,Good,January
90,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19,Cash,372.78,4.761904762,18.639,Good,March
91,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,Ewallet,522.63,4.761904762,26.1315,Bad,January
92,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,4.761904762,5.48,Average,February
93,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,Credit card,345.66,4.761904762,17.283,Good,March
94,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,2019-03-19,11:30,Credit card,163.55,4.761904762,8.1775,Good,March
95,453-33-6436,A,Yangon,Normal,Female,Home and lifestyle,93.12,8,37.248,782.208,2019-02-07,10:09,Cash,744.96,4.761904762,37.248,Average,February
96,865-41-9075,A,Yangon,Normal,Male,Food and beverages,11.53,7,4.0355,84.7455,2019-01-28,17:35,Cash,80.71,4.761904762,4.0355,Good,January
97,247-11-2470,A,Yangon,Member,Female,Fashion accessories,22.32,4,4.464,93.744,2019-03-01,16:23,Credit card,89.28,4.761904762,4.464,Bad,March
98,635-28-5728,A,Yangon,Normal,Male,Health and beauty,56.0,3,8.4,176.4,2019-02-28,19:33,Ewallet,168.0,4.761904762,8.4,Bad,February
99,756-49-0168,A,Yangon,Member,Male,Fashion accessories,19.7,1,0.985,20.685,2019-02-08,11:39,Ewallet,19.7,4.761904762,0.985,Good,February
100,805-86-0265,A,Yangon,Normal,Male,Home and lifestyle,93.96,9,42.282,887.922,2019-03-20,11:32,Cash,845.64,4.761904762,42.282,Good,March
101,373-14-0504,A,Yangon,Member,Female,Sports and travel,71.63,2,7.163,150.423,2019-02-12,14:33,Ewallet,143.26,4.761904762,7.163,Good,February
102,546-80-2899,A,Yangon,Member,Male,Home and lifestyle,37.69,2,3.769,79.149,2019-02-20,15:29,Ewallet,75.38,4.761904762,3.769,Good,February
103,585-86-8361,A,Yangon,Normal,Female,Food and beverages,27.28,5,6.82,143.22,2019-02-03,10:31,Credit card,136.4,4.761904762,6.82,Good,February
104,807-14-7833,A,Yangon,Member,Female,Electronic accessories,17.42,10,8.71,182.91,2019-02-22,12:30,Ewallet,174.2,4.761904762,8.71,Average,February
105,652-43-6591,A,Yangon,Normal,Female,Fashion accessories,97.29,8,38.916,817.236,2019-03-09,13:18,Credit card,778.32,4.761904762,38.916,Average,March
106,406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,2019-01-11,11:52,Cash,579.12,4.761904762,28.956,Bad,January
107,250-17-5703,A,Yangon,Member,Male,Food and beverages,18.85,10,9.425,197.925,2019-02-27,18:24,Ewallet,188.5,4.761904762,9.425,Average,February
108,156-95-3964,A,Yangon,Normal,Female,Food and beverages,55.39,4,11.078,232.638,2019-03-25,15:19,Ewallet,221.56,4.761904762,11.078,Good,March
109,410-67-1709,A,Yangon,Member,Female,Fashion accessories,63.88,8,25.552,536.592,2019-01-20,17:48,Ewallet,511.04,4.761904762,25.552,Good,January
110,587-73-4862,A,Yangon,Member,Female,Health and beauty,10.69,5,2.6725,56.1225,2019-03-26,11:07,Ewallet,53.45,4.761904762,2.6725,Good,March
